,Name,Wins,Losses,Draws,Height,Weight,Reach,Stance,Age,SLpM,StrAcc,SApM,StrDef,TDAvg,TDAcc,TDDef,SubAvg
0,Nariman Abbasov,28,4,0,172.7,155,66,1,32,3.00,20,5.67,46,0.00,0,66,0.0
1,Darion Abbey,9,5,0,188.0,265,80,1,33,8.44,50,14.06,28,0.00,0,0,0.0
2,Hamdy Abdelwahab,7,1,0,188.0,265,72,2,33,4.27,55,3.67,51,3.25,65,100,0.0
3,Farida Abdueva,8,2,0,160.0,115,66,1,22,4.52,47,4.34,54,0.00,0,85,0.0
4,Mansur Abdul-Malik,9,2,1,188.0,185,80,1,28,3.34,45,4.50,45,1.64,46,80,0.3
5,Tahir Abdullayev,20,3,0,172.7,170,73,1,29,2.56,42,2.42,51,2.07,33,100,0.0
6,Shamil Abdurakhimov,20,8,0,190.5,235,76,1,44,2.41,44,3.02,55,1.01,23,45,0.1
7,Daichi Abe,6,2,0,180.3,170,71,1,34,3.80,33,4.49,56,0.33,50,0,0.0
8,Klidson Abreu,15,4,0,182.9,205,74,1,33,2.05,40,2.90,55,0.64,20,80,0.0
9,John Adajar,6,2,0,175.3,170,75,1,35,3.90,52,6.28,44,0.00,0,0,0.0
10,Juan Adams,5,3,0,195.6,265,80,1,34,7.09,55,4.06,34,0.91,66,57,0.0
11,Anthony Adams,8,2,0,185.4,185,76,1,38,3.17,41,5.93,44,0.00,0,0,0.0
12,Matt Adams,6,3,0,180.3,235,75,1,28,0.00,0,22.94,27,0.00,0,0,0.0
13,Zarrukh Adashev,4,4,0,165.1,125,65,2,34,3.65,40,3.04,64,0.00,0,100,0.5
14,Israel Adesanya,24,6,0,193.0,185,80,3,37,4.03,48,3.22,55,0.05,9,76,0.1
15,Mohamed Ado,5,1,0,180.3,170,76,3,26,1.66,83,0.33,75,4.97,50,50,5.0
16,Mariya Agapova,10,5,0,167.6,125,68,2,29,4.43,54,3.62,52,0.55,66,45,0.8
17,Jessica Aguilar,20,8,0,160.0,115,63,1,44,4.93,50,7.19,53,0.94,25,50,0.2
18,Kevin Aguilar,17,5,0,170.2,155,73,1,37,3.96,40,4.81,52,0.16,16,78,0.0
19,Jesus Aguilar,12,4,0,162.6,125,62,1,30,2.54,38,2.29,61,1.52,29,45,1.1
20,Christian Aguilera,14,8,0,175.3,170,72,3,34,2.54,37,4.04,48,0.00,0,60,0.0
